Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m2)
30/06/2023,1700,"28,9","29,5","28,1",21,26,21,"4,4","7,1","4,4","954,4","955,4","954,4","5,7",98,"10,5","3038,4"
30/06/2023,1800,"29,3","29,7","28,8",21,22,20,"4,3","5,5","4,2","953,9","954,4","953,9","4,6",100,"9,1","2377,6"
30/06/2023,1900,"29,1","29,8","28,8",21,22,20,"4,6","5,2","4,3","953,9","953,9","953,8","5,1",101,"8,4","1397,5"
30/06/2023,2000,"28,1","29,4","28,1",24,24,20,"5,4","5,5","4,3","954,3","954,3","953,9","4,7",102,8,513
30/06/2023,2100,"25,5","28,1","25,5",28,28,24,"5,8","5,9","5,4","954,6","954,6","954,3","2,5",107,"6,5","17,4"
30/06/2023,2200,"23,9","25,4","23,9",32,32,28,"6,2","6,3","5,8","955,2","955,2","954,6","2,6",108,"6,5",0
30/06/2023,2300,"23,7","24,8","23,5",32,33,31,6,"6,4",6,"955,7","955,7","955,2","1,4",101,4,0
01/07/2023,0,"22,1",24,"22,1",38,38,32,7,7,6,"956,3","956,3","955,7","0,5",117,"4,8",0
01/07/2023,100,"22,6","23,5","22,1",44,44,37,"9,8","9,8",7,"956,6","956,6","956,3","3,9",100,"7,2",0
