Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m)
02/06/2023,0,,,,,,,,,,,,,,,,0
02/06/2023,100,"25,4","26,9","25,2",47,47,42,"13,2","13,2","12,8","953,7","953,7","953,3","1,2",118,"6,7",0
02/06/2023,200,25,"25,5","24,8",51,51,47,"14,2","14,2","13,2","953,3","953,8","953,3","2,6",110,"4,5",0
02/06/2023,300,24,"25,1",24,55,55,51,"14,5","14,5","14,2","953,1","953,3","952,9","0,9",127,"4,8",0
02/06/2023,400,24,"24,4","23,9",56,56,54,"14,6","14,7","14,5","952,6","953,1","952,5","3,5",121,"6,7",0
02/06/2023,500,"23,3","24,1","23,2",59,59,56,"14,8","14,8","14,6","952,6","952,7","952,4","1,6",114,"6,1",0
02/06/2023,600,"23,1","23,7","23,1",60,60,58,"14,8","14,9","14,7","952,2","952,6","952,2",3,113,"6,5",0
02/06/2023,700,23,"23,1","22,7",61,62,60,15,"15,1","14,8","952,3","952,3",952,"1,5",160,"6,2",0
02/06/2023,800,"22,1",23,"22,1",64,64,61,"14,9","15,1","14,8","952,4","952,4","952,3",0,142,"4,2",0
02/06/2023,900,"22,7","23,2","21,9",61,65,60,"14,8","15,3","14,8","952,8","952,8","952,3","2,7",119,"5,8",0
02/06/2023,1000,"23,5","23,5","22,3",59,62,59,15,"15,2","14,6","953,6","953,6","952,8","2,7",119,"5,5",269
02/06/2023,1100,"24,8","24,9","23,5",55,59,55,"15,2","15,4","15,1",954,954,"953,6","4,4",115,"8,2","1298,6"
02/06/2023,1200,"26,5","26,5","24,8",51,56,51,"15,4","15,4","15,1","954,2","954,2",954,"4,4",115,"9,2","2258,4"
02/06/2023,1300,"28,5","28,7","26,4",40,51,40,"13,4","15,6","13,4","953,7","954,2","953,6","4,7",128,"9,1","2979,6"
02/06/2023,1400,"29,9","30,1","28,3",35,40,33,"12,7","13,4","11,8","952,9","953,7","952,9",5,130,10,"3438,7"
02/06/2023,1500,31,"31,1","29,8",32,35,32,"12,5","13,1",12,"952,1","952,9","952,1","4,5",121,"10,1","3599,9"
02/06/2023,1600,"31,7","32,3","30,5",30,32,29,"11,8","12,6","11,5","951,1","952,2","951,1",4,108,"9,2","3494,3"
02/06/2023,1700,"32,4","32,8","31,3",28,31,28,"11,8","12,3","11,3","950,2","951,1","950,2",3,116,"8,4","3033,2"
02/06/2023,1800,"31,8","32,7","30,9",30,31,28,"11,9","12,1","11,3","949,8","950,2","949,8","5,2",98,"8,2","1664,3"
02/06/2023,1900,"31,2","32,6",31,31,32,29,"12,3","12,4","11,6",950,950,"949,7","5,7",108,"9,6","1324,9"
02/06/2023,2000,"29,8","31,2","29,8",33,33,31,"11,9","12,3","11,8","950,7","950,7",950,"5,8",106,"9,5","425,2"
02/06/2023,2100,"28,2","29,8","28,2",39,39,33,"12,9","12,9","11,7","951,4","951,4","950,7","4,7",103,9,"9,6"
02/06/2023,2200,27,"28,2",27,43,43,39,"13,4","13,5","12,9","951,9","951,9","951,4","6,3",97,"9,6",0
02/06/2023,2300,"26,2",27,"26,2",46,46,43,"13,7","13,7","13,4","952,5","952,5","951,9","6,4",99,"9,7",0
