Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m)
23/05/2023,0,24,"25,2",24,53,53,46,"13,8","13,8",13,"953,1","953,1","952,8","7,8",95,"12,8",0
23/05/2023,100,"23,1",24,"23,1",57,57,53,"14,1","14,1","13,8","953,4","953,4",953,"6,6",98,"12,8",0
23/05/2023,200,"22,4","23,1","22,4",60,60,57,"14,2","14,2","14,1","953,5","953,6","953,3",9,96,"13,8",0
23/05/2023,300,"21,7","22,4","21,7",65,65,60,"14,8","14,8","14,1","953,4","953,6","953,3","6,7",96,"13,8",0
23/05/2023,400,"21,4","21,7","21,4",67,67,65,"15,1","15,1","14,8","953,4","953,5","953,2",9,95,"13,2",0
23/05/2023,500,21,"21,4",21,69,69,67,"15,1","15,2","15,1","953,3","953,5","953,2","6,9",101,"13,6",0
23/05/2023,600,"20,6",21,"20,6",70,70,69,"14,9","15,1","14,8","953,3","953,3","953,1","5,1",103,"11,4",0
23/05/2023,700,20,"20,6",20,71,71,70,"14,7","14,9","14,7","953,2","953,3","953,1","1,9",132,"10,4",0
23/05/2023,800,"20,1","20,2","19,9",70,71,70,"14,5","14,7","14,5","953,3","953,3","953,2","6,9",98,"13,2",0
23/05/2023,900,"19,7","20,1","19,7",72,72,70,"14,4","14,5","14,3","954,2","954,2","953,2","2,8",129,"11,9",0
23/05/2023,1000,"20,7","20,7","19,7",67,72,66,"14,3","14,5","14,2","954,8","954,8","954,2","4,3",104,"7,9","247,2"
23/05/2023,1100,"22,1","22,3","20,7",61,67,61,"14,2","14,6","14,2","955,3","955,3","954,8","6,1",105,"11,1","1347,6"
23/05/2023,1200,"22,9","23,3","22,1",57,61,57,"14,1","14,4","13,9","955,6","955,7","955,3",8,97,"12,7","2417,8"
23/05/2023,1300,"24,5","24,5","22,9",52,57,52,14,"14,5","13,7","955,9",956,"955,6",8,101,"12,9","3146,3"
23/05/2023,1400,"25,8",26,"24,4",46,52,46,"13,4","14,2","13,1","955,1","955,9","955,1",7,97,"12,4","3594,4"
23/05/2023,1500,"27,1","27,6","25,2",41,47,40,"12,7","13,5","12,6",954,"955,1",954,"7,5",97,"11,7","3733,4"
23/05/2023,1600,"28,7","28,8",27,38,41,36,"12,8","13,1","12,1",953,954,953,"5,7",99,"11,2","3557,4"
23/05/2023,1700,"29,3","29,6","28,2",34,37,34,"11,6","12,8","11,4","952,2","953,1","952,2","4,6",100,"10,4","3058,7"
23/05/2023,1800,"29,4","30,2","28,5",34,36,33,"12,1","12,6","11,5","951,5","952,2","951,5","5,3",101,"8,1","2301,6"
23/05/2023,1900,"29,2","29,9","28,8",35,36,34,"12,2","12,4","11,8","951,4","951,5","951,2","5,2",100,"8,1","1382,3"
23/05/2023,2000,28,"29,2",28,38,38,35,"12,5","12,8","12,1","951,7","951,8","951,4","4,1",99,"8,4","476,4"
23/05/2023,2100,"26,4",28,"26,4",43,43,38,"12,8","12,8","12,5","952,3","952,3","951,7","2,2",115,"6,1","11,3"
23/05/2023,2200,"25,4","26,4","25,4",47,47,43,"13,3","13,3","12,8","952,6","952,6","952,3","2,1",103,"4,3",0
